,User,Text,Date,Favorites,Retweets,Mentions,Hashtags,Geolocation
5735,Olasumbo30,"As if she suspected Biggie was going to mess some requests up with adverts, she actually said it in her tweet just before the party. #BBNaija",2020-08-29 23:33:26+00:00,0,1,,#BBNaija,
5736,DbratzDee,"#bbnaija Lmao Nengi told Ozo some minutes ago that she takes Kidd as her brother just as he Ozo also is. But now, she told Kidd she takes him as a friend and she notices he has been distancing himself from her. Chineke. ",2020-08-29 23:33:26+00:00,0,12,,#bbnaija,
5737,mercyeke_stan,It’s so obvious Nengi isn’t tipsy at all #BBNaija,2020-08-29 23:33:26+00:00,0,1,,#BBNaija,
5738,Slayerscloth,what is going on here? Nengi just go and sleep #BBNaija,2020-08-29 23:33:26+00:00,0,4,,#BBNaija,
5739,Nthabi_moka2,Lol #BBNaija,2020-08-29 23:33:26+00:00,0,1,,#BBNaija,
5740,Neye_Powers,Ozo wan die for there if ozo want a solution to this problem let him talk the Erica if not this will continue #BBNaija,2020-08-29 23:33:25+00:00,0,8,,#BBNaija,
5741,sayafrican,Take him oo. I’ll be the happiest. This ship must sail #bbnaija #PeaceWithErica someone shout Amen? #BBNajia,2020-08-29 23:33:25+00:00,9,90,,#bbnaija #PeaceWithErica #BBNajia,
5742,EveristusO1,Shayo sha! Kai #BBNaija,2020-08-29 23:33:25+00:00,0,1,,#BBNaija,
5743,jecciluscious,This people kissed. You can argue with your iPhone and Android. #BBNaija #BBNaijaLockdown,2020-08-29 23:33:24+00:00,0,5,,#BBNaija #BBNaijaLockdown,
5744,naniba10,Ozo can’t even sit steal he keeps raising his head #BBNaija,2020-08-29 23:33:24+00:00,0,7,,#BBNaija,
5745,ExclusiveRuth,Ewooooo #BBNaija ,2020-08-29 23:33:24+00:00,1,1,,#BBNaija,
5746,VeeTori215,interesting!!! #BBNaija,2020-08-29 23:33:24+00:00,0,2,,#BBNaija,
5747,chyses,Straightup! No waste of time #bbnaija ,2020-08-29 23:33:24+00:00,0,3,,#bbnaija,
5748,TheeBibbs,Nengi Nengsssss oh God #bbnaija,2020-08-29 23:33:23+00:00,0,4,,#bbnaija,
