"","date","Count","word"
"337",2020-08-21 19:09:35,1,"goal"
"338",2020-08-21 19:09:36,1,"goal"
"339",2020-08-21 19:09:40,1,"goal"
"340",2020-08-21 19:09:42,1,"goal"
"341",2020-08-21 19:09:43,1,"goal"
"342",2020-08-21 19:09:44,1,"goal"
"343",2020-08-21 19:09:45,1,"goal"
"344",2020-08-21 19:09:47,1,"goal"
"345",2020-08-21 19:09:48,1,"goal"
"346",2020-08-21 19:09:49,1,"goal"
"347",2020-08-21 19:09:50,4,"goal"
"348",2020-08-21 19:09:51,1,"goal"
"349",2020-08-21 19:09:52,1,"goal"
"350",2020-08-21 19:09:53,2,"goal"
"351",2020-08-21 19:09:54,2,"goal"
"352",2020-08-21 19:09:56,1,"goal"
"353",2020-08-21 19:09:57,2,"goal"
"354",2020-08-21 19:09:58,2,"goal"
"355",2020-08-21 19:10:00,1,"goal"
"356",2020-08-21 19:10:01,1,"goal"
"357",2020-08-21 19:10:03,3,"goal"
"358",2020-08-21 19:10:04,2,"goal"
"359",2020-08-21 19:10:05,1,"goal"
"360",2020-08-21 19:10:07,1,"goal"
"361",2020-08-21 19:10:12,2,"goal"
"362",2020-08-21 19:10:13,2,"goal"
"363",2020-08-21 19:10:16,1,"goal"
"364",2020-08-21 19:10:17,3,"goal"
"365",2020-08-21 19:10:18,1,"goal"
"366",2020-08-21 19:10:19,2,"goal"
"367",2020-08-21 19:10:21,1,"goal"
"368",2020-08-21 19:10:23,1,"goal"
"369",2020-08-21 19:10:24,2,"goal"
"370",2020-08-21 19:10:25,2,"goal"
"371",2020-08-21 19:10:26,1,"goal"
"372",2020-08-21 19:10:29,2,"goal"
"373",2020-08-21 19:10:30,2,"goal"
"374",2020-08-21 19:10:33,1,"goal"
"375",2020-08-21 19:10:35,1,"goal"
"376",2020-08-21 19:10:42,2,"goal"
"377",2020-08-21 19:10:43,1,"goal"
"378",2020-08-21 19:10:45,2,"goal"
"379",2020-08-21 19:10:46,1,"goal"
"380",2020-08-21 19:10:47,2,"goal"
"381",2020-08-21 19:10:53,1,"goal"
"382",2020-08-21 19:10:57,1,"goal"
"383",2020-08-21 19:10:58,1,"goal"
"384",2020-08-21 19:10:59,1,"goal"
"385",2020-08-21 19:11:01,1,"goal"
"386",2020-08-21 19:11:02,2,"goal"
"387",2020-08-21 19:11:06,1,"goal"
"388",2020-08-21 19:11:07,1,"goal"
"389",2020-08-21 19:11:08,2,"goal"
"390",2020-08-21 19:11:09,1,"goal"
"391",2020-08-21 19:11:11,1,"goal"
"392",2020-08-21 19:11:12,2,"goal"
"393",2020-08-21 19:11:13,1,"goal"
"394",2020-08-21 19:11:14,2,"goal"
"395",2020-08-21 19:11:15,2,"goal"
"396",2020-08-21 19:11:16,2,"goal"
"397",2020-08-21 19:11:17,1,"goal"
"398",2020-08-21 19:11:24,1,"goal"
"399",2020-08-21 19:11:26,2,"goal"
"400",2020-08-21 19:11:28,1,"goal"
"401",2020-08-21 19:11:29,1,"goal"
"402",2020-08-21 19:11:30,1,"goal"
"403",2020-08-21 19:11:33,2,"goal"
"404",2020-08-21 19:11:34,2,"goal"
"405",2020-08-21 19:11:35,3,"goal"
"406",2020-08-21 19:11:36,2,"goal"
"407",2020-08-21 19:11:39,2,"goal"
